PID,0,1,2,3,4,5,6,7,8,9,10,11
GBM0020_T2,-1.3031068,-0.28233722,-0.5202476,-0.5190984,1.9201146,0.23616488,-1.5420089,1.4636304,0.094832234,0.8616941,-0.7452108,0.33557338
GBM0019_T2,0.20565341,2.2008655,0.22376207,-0.6241678,-0.6047573,-0.7606173,1.1366305,0.119950294,-1.2789624,-1.4569473,0.023316417,0.81527394
GBM0018_T2,-0.109565355,-0.67411125,0.27739525,0.95819193,-1.0897979,-1.8178703,-0.56424564,-0.1595854,0.6409841,2.0884037,0.8688031,-0.4186024
GBM0017_T2,0.23647393,-0.6478166,-0.4553657,0.25791907,-0.034663893,-1.8559393,-0.011395664,1.3816212,-0.19071376,0.620108,1.966993,-1.2672204
GBM0016_T2,0.9103589,-2.5999734,-0.24447352,0.6525018,-0.051729307,0.42861113,1.1073438,0.8241335,-0.18809876,-1.0722188,-0.4407948,0.6743397
GBM0015_T2,-0.9027693,-0.0664926,-0.59592545,1.4502896,-0.92979985,-1.7525579,0.25073487,0.14902864,1.0987651,1.7436463,-0.6434651,0.19854584
GBM0014_T2,-0.13454159,-0.52402323,-0.12669952,1.3723809,-1.4600334,-1.6679243,0.27508047,-0.38331625,1.0101742,1.8834689,0.069723405,-0.3142896
GBM0011_T1,0.2537887,1.9905953,-1.3092678,-0.19227684,-0.14520723,0.5636933,-1.6480553,-0.12531327,1.0093417,-0.51470816,-0.90585613,1.0232657
GBM0002_T1,0.5967136,-0.4463419,0.03552622,0.32446763,1.2407293,1.6606067,0.85896087,-0.82897043,-2.0848951,0.20479408,-0.8445509,-0.7170398
GBM0001_T1,-0.57692325,-1.722113,-0.39700148,0.70845634,1.6053851,1.3946779,0.27790427,-1.5612011,-0.6617731,-0.02268507,0.24283187,0.71244144
